track_title,track_composers,track_genres,track_styles,track_moods,track_themes,album_title,album_release_date,album_duration,album_styles,album_recording_date,album_recording_location,album_moods,album_themes,album_rating
We Die Young,Jerry Cantrell,"Pop/Rock, Electronic","Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Club/Dance, Hard Rock, Alternative Metal","Angry, Angst-Ridden, Anguished/Distraught, Bleak, Brash, Cathartic, Confrontational, Intense, Aggressive, Menacing, Ominous, Visceral, Hostile, Lively, Nihilistic, Volatile, Brooding, Gloomy, Theatrical",Feeling Blue,Facelift,1990,53:54,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Capitol Recording Studios, Hollywood, CA","Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Bleak, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical","Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Night Driving, Open Road, Summer, Nighttime, Road Trip, TGIF, Drugs",3.5
Man in the Box,"Jerry Cantrell, Layne Staley",Pop/Rock,"Alternative Metal, Heavy Metal, Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Hard Rock","Angry, Angst-Ridden, Bleak, Brooding, Cathartic, Menacing, Aggressive, Confrontational, Urgent, Crunchy, Intense, Ominous, Visceral, Anguished/Distraught, Hostile, Nihilistic, Volatile, Gloomy, Theatrical",,Facelift,1990,53:54,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Capitol Recording Studios, Hollywood, CA","Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Bleak, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical","Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Night Driving, Open Road, Summer, Nighttime, Road Trip, TGIF, Drugs",3.5
Sea Of Sorrow,Jerry Cantrell,Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Angst-Ridden, Anguished/Distraught, Bleak, Cathartic, Confrontational, Intense, Aggressive, Menacing, Visceral, Confident, Volatile, Brooding, Theatrical",Feeling Blue,Facelift,1990,53:54,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Capitol Recording Studios, Hollywood, CA","Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Bleak, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical","Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Night Driving, Open Road, Summer, Nighttime, Road Trip, TGIF, Drugs",3.5
Bleed The Freak,Jerry Cantrell,Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Angry, Angst-Ridden, Anguished/Distraught, Bleak, Cathartic, Confrontational, Intense, Aggressive, Menacing, Ominous, Visceral, Hostile, Nihilistic, Volatile, Brooding, Gloomy, Theatrical",Motivation,Facelift,1990,53:54,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Capitol Recording Studios, Hollywood, CA","Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Bleak, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical","Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Night Driving, Open Road, Summer, Nighttime, Road Trip, TGIF, Drugs",3.5
I Can't Remember,"Jerry Cantrell, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Angry, Angst-Ridden, Anguished/Distraught, Bleak, Cathartic, Confrontational, Intense, Aggressive, Menacing, Ominous, Melancholy, Volatile, Wistful, Brooding, Gloomy, Theatrical",Feeling Blue,Facelift,1990,53:54,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Capitol Recording Studios, Hollywood, CA","Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Bleak, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical","Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Night Driving, Open Road, Summer, Nighttime, Road Trip, TGIF, Drugs",3.5
"Love, Hate, Love","Jerry Cantrell, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Angry, Angst-Ridden, Anguished/Distraught, Bleak, Cathartic, Confrontational, Intense, Aggressive, Menacing, Ominous, Visceral, Melancholy, Nihilistic, Wistful, Brooding, Gloomy, Theatrical",,Facelift,1990,53:54,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Capitol Recording Studios, Hollywood, CA","Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Bleak, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical","Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Night Driving, Open Road, Summer, Nighttime, Road Trip, TGIF, Drugs",3.5
It Ain't Like That,"Jerry Cantrell, Sean Kinney, Michael Starr, Mike Starr",Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Angry, Angst-Ridden, Anguished/Distraught, Bleak, Cathartic, Confrontational, Intense, Aggressive, Menacing, Ominous, Visceral, Crunchy, Nihilistic, Volatile, Brooding, Gloomy, Theatrical",,Facelift,1990,53:54,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Capitol Recording Studios, Hollywood, CA","Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Bleak, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical","Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Night Driving, Open Road, Summer, Nighttime, Road Trip, TGIF, Drugs",3.5
Sunshine,Jerry Cantrell,Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Angry, Angst-Ridden, Anguished/Distraught, Bleak, Cathartic, Confrontational, Intense, Aggressive, Menacing, Ominous, Visceral, Crunchy, Melancholy, Nihilistic, Volatile, Wistful, Brooding, Gloomy, Theatrical",,Facelift,1990,53:54,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Capitol Recording Studios, Hollywood, CA","Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Bleak, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical","Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Night Driving, Open Road, Summer, Nighttime, Road Trip, TGIF, Drugs",3.5
Put You Down,Jerry Cantrell,Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Angry, Angst-Ridden, Anguished/Distraught, Bleak, Brash, Cathartic, Confrontational, Intense, Aggressive, Menacing, Ominous, Visceral, Hostile, Nihilistic, Volatile, Brooding, Gloomy, Theatrical",Feeling Blue,Facelift,1990,53:54,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Capitol Recording Studios, Hollywood, CA","Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Bleak, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical","Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Night Driving, Open Road, Summer, Nighttime, Road Trip, TGIF, Drugs",3.5
Confusion,"Jerry Cantrell, Layne Staley, Michael Starr, Mike Starr",Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Angry, Angst-Ridden, Anguished/Distraught, Bleak, Cathartic, Confrontational, Intense, Aggressive, Ominous, Visceral, Melancholy, Wistful, Brooding, Gloomy, Theatrical",Feeling Blue,Facelift,1990,53:54,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Capitol Recording Studios, Hollywood, CA","Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Bleak, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical","Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Night Driving, Open Road, Summer, Nighttime, Road Trip, TGIF, Drugs",3.5
