track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,author,producer
The One You Know,Rainier Fog,studio album,2018,Alice In Chains,289,0.000222,0.557,0.772,0.0192,6,0.196,-4.989,0,0.0325,77.533,4,0.567,,Nick Raskulinecz
Rainier Fog,Rainier Fog,studio album,2018,Alice In Chains,301,0.00011,0.539,0.909,0.613,8,0.128,-5.741,1,0.0342,115.977,4,0.627,Jerry Cantrell,Nick Raskulinecz
Red Giant,Rainier Fog,studio album,2018,Alice In Chains,325,2.77e-05,0.47,0.845,0.329,6,0.0678,-5.642,1,0.0286,160.018,4,0.371,"Jerry Cantrell, Mike Inez, Sean Kinney",Nick Raskulinecz
Fly,Rainier Fog,studio album,2018,Alice In Chains,318,0.000235,0.517,0.814,0.0617,6,0.182,-5.097,1,0.0263,105.004,4,0.363,"Jerry Cantrell, Sean Kinney",Nick Raskulinecz
Drone,Rainier Fog,studio album,2018,Alice In Chains,390,0.00118,0.352,0.804,8.52e-05,0,0.0958,-5.731,0,0.0603,131.918,3,0.558,Jerry Cantrell,Nick Raskulinecz
Deaf Ears Blind Eyes,Rainier Fog,studio album,2018,Alice In Chains,284,2.47e-05,0.308,0.731,0.0575,7,0.186,-5.745,0,0.0298,75.063,4,0.273,Jerry Cantrell,Nick Raskulinecz
Maybe,Rainier Fog,studio album,2018,Alice In Chains,336,0.000257,0.507,0.757,0.00011,6,0.0971,-5.66,1,0.0309,113.048,4,0.202,Jerry Cantrell,Nick Raskulinecz
So Far Under,Rainier Fog,studio album,2018,Alice In Chains,273,0.000762,0.48,0.898,0.00356,7,0.0668,-5.459,0,0.0493,134.913,4,0.406,William DuVall,Nick Raskulinecz
Never Fade,Rainier Fog,studio album,2018,Alice In Chains,280,3.85e-05,0.52,0.94,0.0713,10,0.123,-5.311,0,0.0356,126.977,4,0.743,"Jerry Cantrell, William DuVall",Nick Raskulinecz
All I Am,Rainier Fog,studio album,2018,Alice In Chains,435,0.000275,0.478,0.742,0.00671,1,0.0996,-5.569,0,0.0293,105.001,4,0.251,Jerry Cantrell,Nick Raskulinecz
Hollow,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,341,2.2e-05,0.453,0.825,0.593,6,0.372,-5.071,0,0.0352,98.005,3,0.176,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains"
Pretty Done,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,275,6.75e-06,0.415,0.862,0.81,11,0.0629,-4.137,1,0.038,100.001,4,0.323,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains"
Stone,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,262,6.1e-06,0.456,0.867,0.764,1,0.0914,-4.499,1,0.0399,75.991,4,0.558,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains"
Voices,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,342,0.000143,0.509,0.751,0.157,8,0.108,-6.962,1,0.0351,106.003,4,0.133,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains"
The Devil Put Dinosaurs Here,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,398,5.41e-05,0.362,0.767,0.501,5,0.107,-5.499,0,0.0302,92.011,4,0.201,"Jerry Cantrell, Mike Inez, Sean Kinney","Nick Raskulinecz, Alice in Chains"
Lab Monkey,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,358,2.21e-05,0.347,0.741,0.912,6,0.102,-6.066,1,0.0327,108.189,4,0.195,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains"
Low Ceiling,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,315,2.39e-05,0.262,0.824,0.211,10,0.0943,-4.615,0,0.0428,158.054,4,0.377,"Jerry Cantrell, Mike Inez, Sean Kinney","Nick Raskulinecz, Alice in Chains"
Breath on a Window,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,319,5.37e-05,0.253,0.864,0.605,5,0.216,-5.067,0,0.0432,110.07,4,0.403,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains"
Scalpel,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,321,2.36e-05,0.39,0.657,0.392,8,0.117,-5.951,1,0.0312,104.674,4,0.278,"Jerry Cantrell, Mike Inez, Sean Kinney","Nick Raskulinecz, Alice in Chains"
Phantom Limb,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,427,3.67e-05,0.283,0.857,0.769,10,0.119,-3.918,0,0.0444,138.186,4,0.326,"Jerry Cantrell, Mike Inez, Sean Kinney, William DuVall","Nick Raskulinecz, Alice in Chains"
Hung on a Hook,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,334,4.65e-06,0.225,0.562,0.772,1,0.0897,-6.147,1,0.0318,98.814,4,0.067,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains"
Choke,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,344,0.000168,0.515,0.695,0.783,3,0.158,-6.518,0,0.0283,103.92,4,0.208,"Jerry Cantrell, Mike Inez, Sean Kinney","Nick Raskulinecz, Alice in Chains"
All Secrets Known,Black Gives Way to Blue,studio album,2009,Alice In Chains,282,4.61e-06,0.384,0.82,0.0291,1,0.137,-5.676,1,0.0464,112.04,3,0.313,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains"
Check My Brain,Black Gives Way to Blue,studio album,2009,Alice In Chains,237,3.28e-06,0.441,0.845,0.0533,10,0.723,-3.315,1,0.0462,113.989,4,0.304,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains"
Last of My Kind,Black Gives Way to Blue,studio album,2009,Alice In Chains,352,2.41e-05,0.477,0.895,0.462,1,0.302,-4.231,1,0.0397,115.973,4,0.371,"Jerry Cantrell, William DuVall","Nick Raskulinecz, Alice in Chains"
Your Decision,Black Gives Way to Blue,studio album,2009,Alice In Chains,283,4.42e-05,0.469,0.631,0.000375,3,0.09,-5.872,0,0.0262,99.96,4,0.192,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains"
A Looking in View,Black Gives Way to Blue,studio album,2009,Alice In Chains,426,5.3e-06,0.274,0.839,0.0326,6,0.257,-4.264,1,0.0489,122.182,4,0.217,"Jerry Cantrell, Mike Inez, Sean Kinney, William DuVall","Nick Raskulinecz, Alice in Chains"
When the Sun Rose Again,Black Gives Way to Blue,studio album,2009,Alice In Chains,240,0.16,0.597,0.468,0.000221,7,0.103,-9.028,0,0.0238,92.008,4,0.435,,
Acid Bubble,Black Gives Way to Blue,studio album,2009,Alice In Chains,415,8.64e-06,0.18,0.783,0.0382,5,0.0794,-4.332,0,0.0363,92.289,4,0.246,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains"
Lesson Learned,Black Gives Way to Blue,studio album,2009,Alice In Chains,256,9.27e-06,0.44,0.951,0.00773,1,0.116,-3.639,1,0.0533,108.018,4,0.323,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains"
Take Her Out,Black Gives Way to Blue,studio album,2009,Alice In Chains,240,2.85e-05,0.422,0.842,0.000424,8,0.0621,-4.829,1,0.0407,97.06,4,0.513,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains"
Private Hell,Black Gives Way to Blue,studio album,2009,Alice In Chains,338,5.51e-05,0.388,0.846,0.164,10,0.0828,-5.193,0,0.0335,103.93,4,0.351,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains"
Black Gives Way to Blue,Black Gives Way to Blue,studio album,2009,Alice In Chains,183,0.822,0.205,0.331,0.000695,8,0.0891,-9.265,1,0.0302,179.982,4,0.113,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains"
Black Gives Way to Blue - Piano Mix,Black Gives Way to Blue,studio album,2009,Alice In Chains,180,0.501,0.516,0.294,4.63e-05,8,0.101,-10.383,1,0.0266,89.964,4,0.107,Jerry Cantrell,
Your Decision - Live,Black Gives Way to Blue,studio album,2009,Alice In Chains,288,0.00934,0.227,0.763,0.0128,6,0.163,-5.253,1,0.0291,96.619,4,0.223,,
