track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,author,producer,track_composers,track_genres,track_styles,track_moods,track_themes,album_duration,album_styles,album_recording_date,album_recording_location,album_moods,album_themes,album_rating,billboard_hot_100_debut_date,billboard_hot_100_peak_pos,billboard_hot_100_peak_date,billboard_hot_100_weaks_on_chart,radio_songs_debut_date,radio_songs_peak_pos,radio_songs_peak_date,radio_songs_weaks_on_chart,hot_rock_&_alternative_songs_debut_date,hot_rock_&_alternative_songs_peak_pos,hot_rock_&_alternative_songs_peak_date,hot_rock_&_alternative_songs_weaks_on_chart,mainstream_rock_airplay_debut_date,mainstream_rock_airplay_peak_pos,mainstream_rock_airplay_peak_date,mainstream_rock_airplay_weaks_on_chart,alternative_airplay_debut_date,alternative_airplay_peak_pos,alternative_airplay_peak_date,alternative_airplay_weaks_on_chart,rock_digital_song_sales_debut_date,rock_digital_song_sales_peak_pos,rock_digital_song_sales_peak_date,rock_digital_song_sales_weaks_on_chart,alternative_digital_song_sales_debut_date,alternative_digital_song_sales_peak_pos,alternative_digital_song_sales_peak_date,alternative_digital_song_sales_weaks_on_chart,hot_rock_songs_debut_date,hot_rock_songs_peak_pos,hot_rock_songs_peak_date,hot_rock_songs_weaks_on_chart,canadian_digital_song_sales_debut_date,canadian_digital_song_sales_peak_pos,canadian_digital_song_sales_peak_date,canadian_digital_song_sales_weaks_on_chart,lyricfind_u.s._debut_date,lyricfind_u.s._peak_pos,lyricfind_u.s._peak_date,lyricfind_u.s._weaks_on_chart
The One You Know,Rainier Fog,studio album,2018,Alice In Chains,289,0.000222,0.557,0.772,0.0192,6,0.196,-4.989,0,0.0325,77.533,4,0.567,,Nick Raskulinecz,Jerry Cantrell,,,,,53:49,Alternative MetalHeavy MetalHard Rock,,Casa De Cantrell,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",4.0,,,,,,,,,,,,,,,,,,,,,05.19.18,13,05.19.18,1,05.19.18,10,05.19.18,1,,,,,,,,,,,,
Rainier Fog,Rainier Fog,studio album,2018,Alice In Chains,301,0.00011,0.539,0.909,0.613,8,0.128,-5.741,1,0.0342,115.977,4,0.627,Jerry Cantrell,Nick Raskulinecz,Jerry Cantrell,Pop/Rock,"Alternative Metal, Hard Rock, Heavy Metal",,,53:49,Alternative MetalHeavy MetalHard Rock,,Casa De Cantrell,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Giant,Rainier Fog,studio album,2018,Alice In Chains,325,2.77e-05,0.47,0.845,0.329,6,0.0678,-5.642,1,0.0286,160.018,4,0.371,"Jerry Cantrell, Mike Inez, Sean Kinney",Nick Raskulinecz,"Jerry Cantrell, Mike Inez, Sean Kinney",,,,,53:49,Alternative MetalHeavy MetalHard Rock,,Casa De Cantrell,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fly,Rainier Fog,studio album,2018,Alice In Chains,318,0.000235,0.517,0.814,0.0617,6,0.182,-5.097,1,0.0263,105.004,4,0.363,"Jerry Cantrell, Sean Kinney",Nick Raskulinecz,"Jerry Cantrell, Sean Kinney",,,,,53:49,Alternative MetalHeavy MetalHard Rock,,Casa De Cantrell,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drone,Rainier Fog,studio album,2018,Alice In Chains,390,0.00118,0.352,0.804,8.52e-05,0,0.0958,-5.731,0,0.0603,131.918,3,0.558,Jerry Cantrell,Nick Raskulinecz,"Jerry Cantrell, Mike Inez, Sean Kinney",,,,,53:49,Alternative MetalHeavy MetalHard Rock,,Casa De Cantrell,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deaf Ears Blind Eyes,Rainier Fog,studio album,2018,Alice In Chains,284,2.47e-05,0.308,0.731,0.0575,7,0.186,-5.745,0,0.0298,75.063,4,0.273,Jerry Cantrell,Nick Raskulinecz,Jerry Cantrell,,,,,53:49,Alternative MetalHeavy MetalHard Rock,,Casa De Cantrell,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maybe,Rainier Fog,studio album,2018,Alice In Chains,336,0.000257,0.507,0.757,0.00011,6,0.0971,-5.66,1,0.0309,113.048,4,0.202,Jerry Cantrell,Nick Raskulinecz,Jerry Cantrell,,,,,53:49,Alternative MetalHeavy MetalHard Rock,,Casa De Cantrell,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So Far Under,Rainier Fog,studio album,2018,Alice In Chains,273,0.000762,0.48,0.898,0.00356,7,0.0668,-5.459,0,0.0493,134.913,4,0.406,William DuVall,Nick Raskulinecz,William Duvall,,,,,53:49,Alternative MetalHeavy MetalHard Rock,,Casa De Cantrell,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Never Fade,Rainier Fog,studio album,2018,Alice In Chains,280,3.85e-05,0.52,0.94,0.0713,10,0.123,-5.311,0,0.0356,126.977,4,0.743,"Jerry Cantrell, William DuVall",Nick Raskulinecz,"Jerry Cantrell, William Duvall",,,,,53:49,Alternative MetalHeavy MetalHard Rock,,Casa De Cantrell,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All I Am,Rainier Fog,studio album,2018,Alice In Chains,435,0.000275,0.478,0.742,0.00671,1,0.0996,-5.569,0,0.0293,105.001,4,0.251,Jerry Cantrell,Nick Raskulinecz,Jerry Cantrell,,,,,53:49,Alternative MetalHeavy MetalHard Rock,,Casa De Cantrell,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
