title,author,producer,album_name,release_year
A Little Bitter,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney",Alice in Chains,Last Action Hero: Music from the Original Motion Picture,1993
A Little Bitter (Remix),"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney",Alice in Chains,Music Bank,1999
A Little Bitter (Remix),"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney",Alice in Chains,The Essential Alice in Chains,2006
A Little Bitter,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney",,Live,2000
All I Am,Jerry Cantrell,Nick Raskulinecz,Rainier Fog,2018
A Looking in View,"Jerry Cantrell, Mike Inez, Sean Kinney, William DuVall","Nick Raskulinecz, Alice in Chains",Black Gives Way to Blue,2009
Acid Bubble,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains",Black Gives Way to Blue,2009
Again,"Layne Staley, Jerry Cantrell","Toby Wright, Alice in Chains",Alice in Chains,1995
Again,"Layne Staley, Jerry Cantrell","Toby Wright, Alice in Chains",Nothing Safe,1999
Again,"Layne Staley, Jerry Cantrell","Toby Wright, Alice in Chains",Greatest Hits,2001
Again,"Layne Staley, Jerry Cantrell","Toby Wright, Alice in Chains",The Essential Alice in Chains,2006
Again (Jungle Mix),"Layne Staley, Jerry Cantrell","Toby Wright, Alice in Chains",Alice in Chains Japanese bonus track,1995
Again (Tattoo of Pain Mix),"Layne Staley, Jerry Cantrell","Toby Wright, Alice in Chains",Alice in Chains Japanese bonus track,1995
Again (Tattoo of Pain Mix),"Layne Staley, Jerry Cantrell","Toby Wright, Alice in Chains",Music Bank,1999
Again,"Layne Staley, Jerry Cantrell",,Live,2000
All Secrets Known,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains",Black Gives Way to Blue,2009
Am I Inside,"Layne Staley, Jerry Cantrell","Alice in Chains, Parashar",Sap,1992
Am I Inside,"Layne Staley, Jerry Cantrell","Alice in Chains, Parashar",Music Bank,1999
Am I Inside,"Layne Staley, Jerry Cantrell","Alice in Chains, Parashar",The Essential Alice in Chains,2006
Angry Chair,Layne Staley,"Dave Jerden, Alice in Chains",Dirt,1992
Angry Chair,Layne Staley,"Dave Jerden, Alice in Chains",Nothing Safe,1999
Angry Chair,Layne Staley,"Dave Jerden, Alice in Chains",Music Bank,1999
Angry Chair,Layne Staley,"Dave Jerden, Alice in Chains",Greatest Hits,2001
Angry Chair,Layne Staley,"Dave Jerden, Alice in Chains",The Essential Alice in Chains,2006
Angry Chair,Layne Staley,"Toby Wright, Alice in Chains",Unplugged,1996
Angry Chair,Layne Staley,Alex Coletti,Unplugged,1996
Angry Chair,Layne Staley,Tony Wilson,Live,2000
Black Gives Way to Blue,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains",Black Gives Way to Blue,2009
Black Gives Way to Blue (Piano Mix),Jerry Cantrell,,Black Gives Way to Blue iTunes bonus track,2009
Bleed the Freak,Jerry Cantrell,Dave Jerden,Facelift,1990
Bleed the Freak,Jerry Cantrell,"Alice in Chains, Parashar",Music Bank,1999
Bleed the Freak,Jerry Cantrell,,Live,2000
Breath on a Window,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains",The Devil Put Dinosaurs Here,2013
Brother,Jerry Cantrell,"Alice in Chains, Parashar",Sap,1992
Brother,Jerry Cantrell,"Alice in Chains, Parashar",Music Bank,1999
Brother,Jerry Cantrell,"Alice in Chains, Parashar",The Essential Alice in Chains,2006
Brother,Jerry Cantrell,"Toby Wright, Alice in Chains",Unplugged,1996
Brother,Jerry Cantrell,Alex Coletti,Unplugged,1996
Brush Away,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney","Toby Wright, Alice in Chains",Alice in Chains,1995
Check My Brain,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains",Black Gives Way to Blue,2009
Choke,"Jerry Cantrell, Mike Inez, Sean Kinney","Nick Raskulinecz, Alice in Chains",The Devil Put Dinosaurs Here,2013
Confusion,"Layne Staley, Jerry Cantrell",Dave Jerden,Facelift,1990
Confusion,"Layne Staley, Jerry Cantrell",Dave Jerden,Music Bank,1999
Dam That River,Jerry Cantrell,"Dave Jerden, Alice in Chains",Dirt,1992
Dam That River,Jerry Cantrell,"Dave Jerden, Alice in Chains",Music Bank,1999
Dam That River,Jerry Cantrell,"Dave Jerden, Alice in Chains",The Essential Alice in Chains,2006
Dam That River,Jerry Cantrell,,Live,2000
Deaf Ears Blind Eyes,Jerry Cantrell,Nick Raskulinecz,Rainier Fog,2018
Died,"Layne Staley, Jerry Cantrell","Dave Jerden, Toby Wright",Music Bank,1999
Died,"Layne Staley, Jerry Cantrell","Dave Jerden, Toby Wright",The Essential Alice in Chains,2006
Dirt,"Layne Staley, Jerry Cantrell","Dave Jerden, Alice in Chains",Dirt,1992
Dirt,"Layne Staley, Jerry Cantrell","Dave Jerden, Alice in Chains",Music Bank,1999
Dirt,"Layne Staley, Jerry Cantrell","Dave Jerden, Alice in Chains",The Essential Alice in Chains,2006
Dirt (Drunk And Disorderly Version),"Layne Staley, Jerry Cantrell",Mark Naficy,Live,2000
Don't Follow,Jerry Cantrell,Alice in Chains,Jar of Flies,1994
Down in a Hole,Jerry Cantrell,"Dave Jerden, Alice in Chains",Dirt,1992
Down in a Hole,Jerry Cantrell,"Dave Jerden, Alice in Chains",Nothing Safe,1999
Down in a Hole,Jerry Cantrell,"Dave Jerden, Alice in Chains",Music Bank,1999
Down in a Hole,Jerry Cantrell,,Black Gives Way to Blue Japanese bonus track,2009
Drone,Jerry Cantrell,Nick Raskulinecz,Rainier Fog,2018
Fear the Voices,"Layne Staley, Jerry Cantrell","Dave Jerden, Alice in Chains",Music Bank,1999
Fly,"Jerry Cantrell, Sean Kinney",Nick Raskulinecz,Rainier Fog,2018
