chart,track_name,debut_date,peak_pos,peak_date,weaks_on_chart
Billboard Hot 100,Check My Brain,10.03.09,92,10.17.09,4
Radio Songs,No Excuses,02.19.94,48,04.23.94,15
Radio Songs,Heaven Beside You,01.27.96,52,03.09.96,11
Radio Songs,Check My Brain,10.10.09,71,10.31.09,5
Hot Rock & Alternative Songs,Your Decision,12.19.09,1,03.06.10,29
Hot Rock & Alternative Songs,Check My Brain,08.29.09,1,09.19.09,25
Hot Rock & Alternative Songs,Lesson Learned,07.03.10,10,09.25.10,20
Hot Rock & Alternative Songs,A Looking In View,07.18.09,27,08.22.09,8
Hot Rock & Alternative Songs,Stone,06.08.13,37,06.22.13,7
Mainstream Rock Airplay,Your Decision,12.19.09,1,02.27.10,29
Mainstream Rock Airplay,Check My Brain,08.29.09,1,10.03.09,28
Mainstream Rock Airplay,Would?,08.08.92,19,12.14.96,26
Mainstream Rock Airplay,No Excuses,02.12.94,1,03.26.94,26
Mainstream Rock Airplay,I Stay Away,05.14.94,10,07.02.94,26
Alternative Airplay,Your Decision,12.19.09,4,04.10.10,22
Alternative Airplay,Check My Brain,08.29.09,1,10.10.09,20
Alternative Airplay,Heaven Beside You,01.13.96,6,02.24.96,18
Alternative Airplay,No Excuses,02.12.94,3,03.19.94,16
Alternative Airplay,Got Me Wrong,12.10.94,22,01.14.95,14
Rock Digital Song Sales,The One You Know,05.19.18,13,05.19.18,1
Alternative Digital Song Sales,The One You Know,05.19.18,10,05.19.18,1
Hot Rock Songs,Your Decision,12.19.09,1,03.06.10,29
Hot Rock Songs,Check My Brain,08.29.09,1,09.19.09,25
Hot Rock Songs,Lesson Learned,07.03.10,10,09.25.10,20
Hot Rock Songs,A Looking In View,07.18.09,27,08.22.09,8
Hot Rock Songs,Stone,06.08.13,37,06.22.13,7
Canadian Digital Song Sales,Check My Brain,09.05.09,55,09.05.09,1
LyricFind U.S.,Nutshell,10.23.21,15,10.23.21,1
