chart,track_name,debut_date,peak_pos,peak_date,weaks_on_chart
Billboard Hot 100,Smells Like Teen Spirit,12.07.91,6,01.11.92,20
Billboard Hot 100,You Know You're Right,10.19.02,45,11.23.02,20
Billboard Hot 100,Come As You Are,03.21.92,32,05.02.92,18
Billboard Hot 100,Lithium,08.08.92,64,08.15.92,9
Billboard Hot 100,Something In The Way,03.26.22,46,03.26.22,1
Radio Songs,All Apologies,01.15.94,45,04.02.94,22
Radio Songs,You Know You're Right,10.19.02,43,11.30.02,17
Radio Songs,About A Girl,10.15.94,22,11.19.94,16
Radio Songs,Smells Like Teen Spirit,12.21.91,41,02.01.92,14
Radio Songs,The Man Who Sold The World,02.04.95,39,03.11.95,12
Digital Song Sales,Something In The Way,09.05.20,20,03.19.22,6
Digital Song Sales,Smells Like Teen Spirit,07.03.21,13,08.13.22,5
Billboard Global 200,Smells Like Teen Spirit,01.16.21,92,10.09.21,125
Billboard Global 200,Something In The Way,03.19.22,23,03.26.22,9
Hot Rock & Alternative Songs,Smells Like Teen Spirit,07.03.21,9,10.09.21,4
Hot Rock & Alternative Songs,Something In The Way,03.19.22,4,03.26.22,3
Hot Rock & Alternative Songs,Come As You Are,03.23.19,11,03.23.19,3
Mainstream Rock Airplay,All Apologies,12.18.93,4,03.05.94,26
Mainstream Rock Airplay,About A Girl,10.15.94,3,12.17.94,26
Mainstream Rock Airplay,You Know You're Right,10.12.02,1,11.02.02,26
Mainstream Rock Airplay,Come As You Are,01.25.92,3,04.04.92,25
Mainstream Rock Airplay,Smells Like Teen Spirit,11.02.91,7,02.01.92,24
Alternative Airplay,You Know You're Right,10.12.02,1,10.26.02,26
Alternative Airplay,All Apologies,12.04.93,1,01.22.94,21
Alternative Airplay,The Man Who Sold The World,01.07.95,6,03.04.95,21
Alternative Airplay,Smells Like Teen Spirit,09.21.91,1,11.23.91,20
Alternative Airplay,About A Girl,10.15.94,1,12.10.94,19
Rock Streaming Songs,Smells Like Teen Spirit,08.01.15,11,09.11.21,133
Rock Streaming Songs,Something In The Way,03.19.22,1,03.26.22,9
Rock Digital Song Sales,Smells Like Teen Spirit,04.02.11,3,10.09.21,45
Rock Digital Song Sales,Something In The Way,09.05.20,2,09.05.20,9
Rock Digital Song Sales,Come As You Are,12.06.14,13,03.12.22,7
Rock Digital Song Sales,Heart-Shaped Box,02.05.22,16,02.05.22,1
Hot Alternative Songs,Smells Like Teen Spirit,07.03.21,8,10.09.21,4
Hot Alternative Songs,Something In The Way,03.19.22,4,03.26.22,3
Hot Alternative Songs,Come As You Are,10.09.21,19,10.09.21,2
Alternative Streaming Songs,Smells Like Teen Spirit,01.16.21,12,03.26.22,135
Alternative Streaming Songs,Something In The Way,03.19.22,3,03.26.22,10
Alternative Digital Song Sales,Smells Like Teen Spirit,04.02.11,3,07.10.21,43
Alternative Digital Song Sales,Come As You Are,10.15.16,15,03.12.22,12
Alternative Digital Song Sales,Something In The Way,09.05.20,3,05.07.22,11
Alternative Digital Song Sales,Heart-Shaped Box,02.05.22,11,02.05.22,1
Hot Rock Songs,Smells Like Teen Spirit,07.03.21,9,10.09.21,4
Hot Rock Songs,Something In The Way,03.19.22,4,03.26.22,3
Hot Rock Songs,Come As You Are,03.23.19,11,03.23.19,3
Canadian Digital Song Sales,Smells Like Teen Spirit,08.02.14,19,10.09.21,3
Canadian Digital Song Sales,Come As You Are,06.05.21,31,06.12.21,3
Canadian Digital Song Sales,Something In The Way,03.26.22,29,03.26.22,2
Billboard Global 200,Smells Like Teen Spirit,01.16.21,86,12.31.22,42
LyricFind Global,Smells Like Teen Spirit,07.17.21,4,07.24.21,9
LyricFind Global,Something In The Way,08.29.20,2,03.19.22,5
LyricFind Global,Come As You Are,04.16.22,10,04.16.22,1
LyricFind Global,Rape Me,04.09.22,8,04.09.22,1
LyricFind U.S.,Something In The Way,08.29.20,1,09.05.20,9
LyricFind U.S.,Smells Like Teen Spirit,07.17.21,4,07.24.21,6
LyricFind U.S.,Polly,10.02.21,4,10.09.21,2
LyricFind U.S.,Drain You,05.02.20,23,05.02.20,1
LyricFind U.S.,Marigold,05.22.21,8,05.22.21,1
Hot Alternative Songs,Something In The Way,03.19.22,4,03.26.22,4
