track_name,track_composers,track_genres,track_styles,track_moods,track_themes,album_name,album_duration,album_genres,album_styles,album_recording_date,album_recording_location,album_moods,album_themes,album_rating
Blew,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Angst-Ridden, Aggressive, Harsh, Snide, Visceral, Raucous, Brooding, Cathartic","Cool & Cocky, Guys Night Out",Bleach,42:14,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,"December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5
Floyd The Barber,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Cathartic, Intense, Angst-Ridden, Crunchy, Volatile, Aggressive, Cynical/Sarcastic, Harsh, Paranoid, Energetic, Visceral, Acerbic, Raucous, Brooding, Snide","Cool & Cocky, Guys Night Out",Bleach,42:14,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,"December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5
About A Girl,Kurt Cobain,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge","Yearning, Brooding, Earnest, Intimate, Melancholy, Angst-Ridden, Hypnotic, Plaintive, Reflective, Wistful, Searching, Bittersweet, Flowing","Heartache, Introspection, Breakup, Feeling Blue, Reflection, Sex, Rainy Day",Bleach,42:14,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,"December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5
School,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Angst-Ridden, Aggressive, Harsh, Visceral, Acerbic, Raucous, Brooding, Cathartic, Snide","Cool & Cocky, Guys Night Out",Bleach,42:14,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,"December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5
Love Buzz,Robbie Van Leeuwen,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Aggressive, Raucous, Visceral, Acerbic, Energetic, Hypnotic, Intense","Cool & Cocky, Guys Night Out",Bleach,42:14,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,"December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5
Paper Cuts,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Hard Rock, Heavy Metal","Angst-Ridden, Aggressive, Harsh, Snide, Visceral, Angry, Confrontational, Druggy, Hostile, Intense, Raucous, Cathartic","Cool & Cocky, Guys Night Out, Despair, Fear, Loss/Grief",Bleach,42:14,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,"December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5
Negative Creep,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Sludge Metal, Speed/Thrash Metal, Stoner Metal","Angst-Ridden, Aggressive, Harsh, Visceral, Raucous, Brooding, Cathartic, Snide","Cool & Cocky, Guys Night Out",Bleach,42:14,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,"December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5
Scoff,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Angst-Ridden, Aggressive, Harsh, Snide, Visceral, Raucous, Cathartic","Cool & Cocky, Guys Night Out",Bleach,42:14,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,"December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5
Swap Meet,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Sludge Metal","Angst-Ridden, Aggressive, Harsh, Snide, Visceral, Raucous, Cathartic","Cool & Cocky, Guys Night Out",Bleach,42:14,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,"December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5
Mr. Moustache,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Angst-Ridden, Aggressive, Harsh, Snide, Visceral, Raucous, Cathartic","Cool & Cocky, Guys Night Out",Bleach,42:14,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,"December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5
Sifting,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Angst-Ridden, Aggressive, Harsh, Snide, Visceral, Raucous, Cathartic","Cool & Cocky, Guys Night Out",Bleach,42:14,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,"December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5
Big Cheese,Kurt Cobain,,,,,Bleach,42:14,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,"December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5
Downer,"Kurt Cobain, Krist Novoselic",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Fiery, Intense, Reckless, Tense/Anxious, Angst-Ridden, Crunchy, Volatile, Aggressive, Cynical/Sarcastic, Harsh, Rebellious, Snide, Brooding, Confrontational, Energetic, Urgent, Visceral, Raucous, Cathartic","Cool & Cocky, Guys Night Out, Late Night",Bleach,42:14,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,"December, 1988 - January, 1989","Reciprocal Recording, Seattle, WA","Acerbic, Aggressive, Angst-Ridden, Brooding, Cathartic, Harsh, Intense, Raucous, Rebellious, Snide, Tense/Anxious, Theatrical, Visceral","Late Night, Revolution",3.5
Blew,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Angst-Ridden, Aggressive, Harsh, Snide, Visceral, Raucous, Brooding, Cathartic","Cool & Cocky, Guys Night Out",Blew Ep,,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,,,"Acerbic, Aggressive, Angst-Ridden, Cathartic, Fiery, Intense, Reckless, Tense/Anxious, Visceral, Bleak, Crunchy, Fierce, Spooky, Unsettling, Volatile, Cynical/Sarcastic, Gloomy, Manic, Paranoid, Rebellious, Brooding, Energetic, Raucous, Witty, Confrontational, Nihilistic, Wry",,3.0
Love Buzz,Robbie Van Leeuwen,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Aggressive, Raucous, Visceral, Acerbic, Energetic, Hypnotic, Intense","Cool & Cocky, Guys Night Out",Blew Ep,,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,,,"Acerbic, Aggressive, Angst-Ridden, Cathartic, Fiery, Intense, Reckless, Tense/Anxious, Visceral, Bleak, Crunchy, Fierce, Spooky, Unsettling, Volatile, Cynical/Sarcastic, Gloomy, Manic, Paranoid, Rebellious, Brooding, Energetic, Raucous, Witty, Confrontational, Nihilistic, Wry",,3.0
Been A Son,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Angst-Ridden, Intense, Aggressive, Raucous, Visceral, Volatile, Acerbic, Reflective, Energetic, Urgent","Feeling Blue, Introspection, Hanging Out, Rainy Day, Reflection, Cool & Cocky",Blew Ep,,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,,,"Acerbic, Aggressive, Angst-Ridden, Cathartic, Fiery, Intense, Reckless, Tense/Anxious, Visceral, Bleak, Crunchy, Fierce, Spooky, Unsettling, Volatile, Cynical/Sarcastic, Gloomy, Manic, Paranoid, Rebellious, Brooding, Energetic, Raucous, Witty, Confrontational, Nihilistic, Wry",,3.0
Stain,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Aggressive, Angst-Ridden, Raucous, Reckless, Visceral, Volatile, Acerbic, Cathartic, Brooding","Cool & Cocky, Hanging Out, Guys Night Out",Blew Ep,,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,,,"Acerbic, Aggressive, Angst-Ridden, Cathartic, Fiery, Intense, Reckless, Tense/Anxious, Visceral, Bleak, Crunchy, Fierce, Spooky, Unsettling, Volatile, Cynical/Sarcastic, Gloomy, Manic, Paranoid, Rebellious, Brooding, Energetic, Raucous, Witty, Confrontational, Nihilistic, Wry",,3.0
Floyd The Barber,Kurt Cobain,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Cathartic, Intense, Angst-Ridden, Crunchy, Volatile, Aggressive, Cynical/Sarcastic, Harsh, Paranoid, Energetic, Visceral, Acerbic, Raucous, Brooding, Snide","Cool & Cocky, Guys Night Out","Live (Blind Pig, Ann Arbor)",,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,,,"Acerbic, Aggressive, Angst-Ridden, Cathartic, Fiery, Intense, Reckless, Tense/Anxious, Visceral, Bleak, Crunchy, Fierce, Spooky, Unsettling, Volatile, Cynical/Sarcastic, Gloomy, Manic, Paranoid, Rebellious, Brooding, Energetic, Harsh, Raucous, Snide, Witty, Confrontational, Nihilistic, Wry",,3.0
Love Buzz,Robbie Van Leeuwen,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock","Aggressive, Raucous, Visceral, Acerbic, Energetic, Hypnotic, Intense","Cool & Cocky, Guys Night Out","Live (Blind Pig, Ann Arbor)",,Pop/Rock,Alternative Pop/RockAlternative/Indie RockGrunge,,,"Acerbic, Aggressive, Angst-Ridden, Cathartic, Fiery, Intense, Reckless, Tense/Anxious, Visceral, Bleak, Crunchy, Fierce, Spooky, Unsettling, Volatile, Cynical/Sarcastic, Gloomy, Manic, Paranoid, Rebellious, Brooding, Energetic, Harsh, Raucous, Snide, Witty, Confrontational, Nihilistic, Wry",,3.0
