track_name,album_name,album_type,duration,release_year,artists,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Intro (Live At Pine Street Theatre),Bleach (Deluxe Edition),rerelease,52,2009,Nirvana,1.18e-05,0.269,0.634,0.42,9,0.0917,-7.221,1,0.0421,84.911,1,0.364
Blew,Bleach,studio album,174,1989,Nirvana,5.65e-06,0.411,0.882,0.0147,1,0.298,-6.618,1,0.0556,129.848,4,0.531
Floyd The Barber,Bleach,studio album,138,1989,Nirvana,0.000788,0.443,0.878,0.56,8,0.0623,-6.717,0,0.0418,136.567,4,0.683
About A Girl,Bleach,studio album,168,1989,Nirvana,5.13e-06,0.413,0.875,0.00058,6,0.209,-7.48,0,0.031,131.951,4,0.575
School,Bleach,studio album,162,1989,Nirvana,1.15e-05,0.21,0.943,0.493,4,0.0739,-7.656,1,0.0785,164.844,4,0.13
Love Buzz,Bleach,studio album,215,1989,Nirvana,3.1e-05,0.479,0.865,0.228,5,0.182,-8.281,0,0.0339,137.902,4,0.77
Paper Cuts,Bleach,studio album,246,1989,Nirvana,0.00205,0.553,0.726,0.17,4,0.139,-7.462,1,0.0403,102.094,4,0.361
Negative Creep,Bleach,studio album,175,1989,Nirvana,7.97e-06,0.37,0.947,0.000175,2,0.0762,-7.213,1,0.0901,81.744,4,0.418
Scoff,Bleach,studio album,250,1989,Nirvana,6.47e-06,0.442,0.915,0.865,11,0.114,-7.751,0,0.0403,145.27,4,0.735
Swap Meet,Bleach,studio album,183,1989,Nirvana,5.28e-05,0.387,0.953,2.45e-05,2,0.189,-7.143,1,0.0557,146.313,4,0.709
Mr. Moustache,Bleach,studio album,203,1989,Nirvana,5.58e-06,0.194,0.898,0.141,0,0.108,-6.12,1,0.0608,177.191,4,0.482
Sifting,Bleach,studio album,322,1989,Nirvana,8.7e-05,0.42,0.747,0.0125,0,0.106,-7.559,1,0.0394,115.4,4,0.583
Big Cheese,Bleach,studio album,222,1989,Nirvana,5.73e-06,0.27,0.945,0.0203,4,0.179,-6.65,0,0.0537,129.556,4,0.297
Downer,Bleach,studio album,103,1989,Nirvana,0.000401,0.345,0.932,0.546,4,0.185,-6.109,0,0.112,100.961,4,0.508
Spank Thru (Live At Pine Street Theatre),Bleach (Deluxe Edition),rerelease,179,2009,Nirvana,2.77e-05,0.305,0.95,0.0512,2,0.225,-6.661,1,0.0547,137.933,4,0.35
Molly'S Lips (Live At Pine Street Theatre),Bleach (Deluxe Edition),rerelease,135,2009,Nirvana,5.56e-05,0.284,0.964,0.0803,7,0.269,-6.651,1,0.1,156.573,4,0.415
Sappy (Live At Pine Street Theatre),Bleach (Deluxe Edition),rerelease,199,2009,Nirvana,4.13e-06,0.409,0.918,0.0464,2,0.657,-6.218,1,0.0387,135.721,4,0.442
About A Girl (Live At Pine Street Theatre),Bleach (Deluxe Edition),rerelease,147,2009,Nirvana,4.9e-06,0.36,0.931,8.18e-06,4,0.461,-6.008,0,0.0363,149.44,4,0.686
Blew (Live At Pine Street Theatre),Bleach (Deluxe Edition),rerelease,270,2009,Nirvana,0.000126,0.24,0.934,0.0158,2,0.726,-7.815,1,0.139,140.127,4,0.227
Love Buzz (Live At Pine Street Theatre),Bleach (Deluxe Edition),rerelease,177,2009,Nirvana,4.98e-05,0.407,0.952,0.146,2,0.106,-7.383,1,0.0654,152.945,4,0.81
Dive (Live At Pine Street Theatre),Bleach (Deluxe Edition),rerelease,222,2009,Nirvana,5.21e-06,0.411,0.895,0.00509,11,0.14,-5.807,1,0.0342,132.553,4,0.439
Been A Son (Live At Pine Street Theatre),Bleach (Deluxe Edition),rerelease,120,2009,Nirvana,6.47e-06,0.28,0.916,0.52,7,0.701,-6.689,1,0.0415,151.559,4,0.682
Scoff (Live At Pine Street Theatre),Bleach (Deluxe Edition),rerelease,232,2009,Nirvana,2.9e-06,0.372,0.933,0.2,4,0.683,-6.3,0,0.0466,155.403,4,0.897
School (Live At Pine Street Theatre),Bleach (Deluxe Edition),rerelease,156,2009,Nirvana,1.35e-05,0.257,0.958,0.127,4,0.217,-6.009,1,0.0967,158.784,4,0.474
Floyd The Barber (Live At Pine Street Theatre),Bleach (Deluxe Edition),rerelease,136,2009,Nirvana,8.88e-06,0.333,0.914,0.0445,5,0.218,-5.928,1,0.0503,145.838,4,0.493
