,track_name,album_name,compilation_name,track_is_single,track_from_album,track_from_compilation
0,Smells Like Teen Spirit - Remastered 2021,Nevermind (30th Anniversary Super Deluxe),,False,True,False
1,In Bloom - Remastered 2021,Nevermind (30th Anniversary Super Deluxe),,False,True,False
2,Come As You Are - Remastered 2021,Nevermind (30th Anniversary Super Deluxe),,False,True,False
3,Breed - Remastered 2021,Nevermind (30th Anniversary Super Deluxe),,False,True,False
4,Lithium - Remastered 2021,Nevermind (30th Anniversary Super Deluxe),,False,True,False
5,Polly - Remastered 2021,Nevermind (30th Anniversary Super Deluxe),,False,True,False
6,Territorial Pissings - Remastered 2021,Nevermind (30th Anniversary Super Deluxe),,False,True,False
7,Drain You - Remastered 2021,Nevermind (30th Anniversary Super Deluxe),,False,True,False
8,Lounge Act - Remastered 2021,Nevermind (30th Anniversary Super Deluxe),,False,True,False
9,Stay Away - Remastered 2021,Nevermind (30th Anniversary Super Deluxe),,False,True,False
10,On A Plain - Remastered 2021,Nevermind (30th Anniversary Super Deluxe),,False,True,False
11,Something In The Way - Remastered 2021,Nevermind (30th Anniversary Super Deluxe),,False,True,False
12,"Endless, Nameless - Remastered 2021",Nevermind (30th Anniversary Super Deluxe),,False,True,False
13,"Drain You - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
14,"Aneurysm - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
15,"School - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
16,"Floyd The Barber - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
17,"Smells Like Teen Spirit - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
18,"About A Girl - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
19,"Polly - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
20,"Lithium - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
21,"Sliver - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
22,"Breed - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
23,"Come As You Are - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
24,"Been A Son - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
25,"Negative Creep - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
26,"On A Plain - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
27,"Blew - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
28,"Love Buzz - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
29,"Territorial Pissings - Live In Amsterdam, Netherlands/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
30,"Drain You - Live In Del Mar, California/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
31,"Aneurysm - Live In Del Mar, California/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
32,"School - Live In Del Mar, California/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
33,"Floyd The Barber - Live In Del Mar, California/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
34,"Smells Like Teen Spirit - Live In Del Mar, California/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
35,"About A Girl - Live In Del Mar, California/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
36,"Polly - Live In Del Mar, California/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
37,"Sliver - Live In Del Mar, California/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
38,"Breed - Live In Del Mar, California/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
39,"Come As You Are - Live In Del Mar, California/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
40,"Lithium - Live In Del Mar, California/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
41,"Territorial Pissings - Live In Del Mar, California/1991",Nevermind (30th Anniversary Super Deluxe),,False,True,False
42,"Aneurysm - Live In Melbourne, Australia For Triple J/1992",Nevermind (30th Anniversary Super Deluxe),,False,True,False
43,"Drain You - Live In Melbourne, Australia For Triple J/1992",Nevermind (30th Anniversary Super Deluxe),,False,True,False
44,"School - Live In Melbourne, Australia For Triple J/1992",Nevermind (30th Anniversary Super Deluxe),,False,True,False
45,"Sliver - Live In Melbourne, Australia For Triple J/1992",Nevermind (30th Anniversary Super Deluxe),,False,True,False
46,"About A Girl - Live In Melbourne, Australia For Triple J/1992",Nevermind (30th Anniversary Super Deluxe),,False,True,False
