track_name,album_name,release_year,producers,writers
About A Girl,Bleach,1989,Jack Endino,Kurt Cobain
Aero Zeppelin,Incesticide,1992,Jack Endino,Kurt Cobain
Ain'T It A Shame #,With The Lights Out,2004,Jack Endino,Traditional
All Apologies,In Utero,1993,Steve Albini,Kurt Cobain
Aneurysm,Non-Album Single,1991,Craig Montgomery,"Kurt Cobain, Dave Grohl, Krist Novoselic"
,,,,
,,,,
Been A Son,Non-Album Single,1989,Steve Fisk,Kurt Cobain
Beeswax,Kill Rock Stars,1991,Jack Endino,Kurt Cobain
Big Cheese,Non-Album Single,1988,Jack Endino,Kurt Cobain
Big Long Now,Incesticide,1992,Jack Endino,Kurt Cobain
Big Me,Unknown,-1,Adam Kasper,Dave Grohl
Blandest,With The Lights Out,2004,Jack Endino,Kurt Cobain
Blew,Bleach,1989,Jack Endino,Kurt Cobain
Breed,Nevermind,1991,"Nirvana, Butch Vig",Kurt Cobain
,,,,
,,,,
,,,,
Come As You Are,Nevermind,1991,"Nirvana, Butch Vig",Kurt Cobain
Curmudgeon,Non-Album Single,1992,Barrett Jones,"Kurt Cobain, Dave Grohl, Krist Novoselic"
D-7,Hormoaning,1992,Dale Griffin,Greg Sage
,,,,
Dive,Non-Album Single,1990,Butch Vig,"Kurt Cobain, Krist Novoselic"
,,,,
Do You Love Me?,Hard To Believe: A Kiss Covers Compilation,1990,Greg Babior,"Bob Ezrin, Kim Fowley, Paul Stanley"
,,,,
Downer,Bleach,1990,Jack Endino,"Kurt Cobain, Krist Novoselic"
Drain You,Nevermind,1991,"Nirvana, Butch Vig",Kurt Cobain
Dumb,In Utero,1993,Steve Albini,Kurt Cobain
,,,,
"Endless, Nameless",Nevermind,1991,Butch Vig,"Kurt Cobain, Dave Grohl, Krist Novoselic"
,,,,
Even In His Youth,Non-Album Single,1991,Craig Montgomery,"Kurt Cobain, Dave Grohl, Krist Novoselic"
Exhausted,Unknown,-1,Adam Kasper,Dave Grohl
February Stars,Unknown,-1,Adam Kasper,Dave Grohl
Floyd The Barber,Bleach,1989,Jack Endino,Kurt Cobain
Forgotten Tune,In Utero,2013,Barrett Jones,Kurt Cobain
Frances Farmer Will Have Her Revenge On Seattle,In Utero,1993,Steve Albini,Kurt Cobain
,,,,
Gallons Of Rubbing Alcohol Flow Through The Strip,In Utero,1993,Craig Montgomery,"Kurt Cobain, Dave Grohl, Krist Novoselic"
Grey Goose,With The Lights Out,2004,Jack Endino,Traditional
,,,,
Hairspray Queen,Incesticide,1992,Jack Endino,Kurt Cobain
Heart-Shaped Box,In Utero,1993,Steve Albini,Kurt Cobain
,,,,
Here She Comes Now,Heaven & Hell: A Tribute To The Velvet Underground,1991,Butch Vig,"John Cale, Sterling Morrison, Lou Reed, Moe Tucker"
,,,,
I Hate Myself And Want To Die,The Beavis And Butt-Head Experience,1993,Steve Albini,Kurt Cobain
If You Must,With The Lights Out,2004,Jack Endino,Kurt Cobain
,,,,
In Bloom,Nevermind,1991,"Nirvana, Butch Vig",Kurt Cobain
Jam,In Utero,2013,Jack Endino,Kurt Cobain
,,,,
Jesus Doesn'T Want Me For A Sunbeam,Mtv Unplugged In New York,1994,"Alex Coletti, Scott Litt, Nirvana","Eugene Kelly, Frances McKee"
Lake Of Fire,Mtv Unplugged In New York,1994,"Alex Coletti, Scott Litt, Nirvana",Curt Kirkwood
,,,,
Lithium,Nevermind,1991,"Nirvana, Butch Vig",Kurt Cobain
Lounge Act,Nevermind,1991,"Nirvana, Butch Vig",Kurt Cobain
Love Buzz,Bleach,1989,Jack Endino,Robbie van Leeuwen
,,,,
The Man Who Sold The World,Mtv Unplugged In New York,1994,"Alex Coletti, Scott Litt, Nirvana",David Bowie
Marigold,Non-Album Single,1993,Steve Albini,Dave Grohl
Mexican Seafood,Teriyaki Asthma Volume 1,1989,Jack Endino,Kurt Cobain
Milk It,In Utero,1993,Steve Albini,Kurt Cobain
,,,,
Moist Vagina,Non-Album Single,1993,Steve Albini,Kurt Cobain
Molly'S Lips,Non-Album Single,1991,Dale Griffin,"Eugene Kelly, Frances McKee"
,,,,
,,,,
Mr. Moustache,Bleach,1989,Jack Endino,Kurt Cobain
,,,,
,,,,
Negative Creep,Bleach,1989,Jack Endino,Kurt Cobain
,,,,
,,,,
"Oh, Me",Mtv Unplugged In New York,1994,"Alex Coletti, Scott Litt, Nirvana",Curt Kirkwood
"Oh, The Guilt",Non-Album Single,1992,Barrett Jones,Kurt Cobain
Old Age,With The Lights Out,2004,Butch Vig,Kurt Cobain
On A Plain,Nevermind,1991,"Nirvana, Butch Vig",Kurt Cobain
Onward Into Countless Battles,Unknown,-1,Craig Montgomery,Johnny Hedlund
,,,,
The Other Improv,With The Lights Out,2004,Craig Montgomery,Kurt Cobain
Paper Cuts,Bleach,1989,Jack Endino,Kurt Cobain
Pen Cap Chew,With The Lights Out,2004,Jack Endino,Kurt Cobain
Pennyroyal Tea,In Utero,1993,Steve Albini,Kurt Cobain
Plateau,Mtv Unplugged In New York,1994,"Alex Coletti, Scott Litt, Nirvana",Curt Kirkwood
Polly,Nevermind,1991,"Nirvana, Butch Vig",Kurt Cobain
Radio Friendly Unit Shifter,In Utero,1993,Steve Albini,Kurt Cobain
Rape Me,In Utero,1993,Steve Albini,Kurt Cobain
Return Of The Rat,Eight Songs For Greg Sage And The Wipers,1992,Barrett Jones,Greg Sage
Sappy,No Alternative,1993,Steve Albini,Kurt Cobain
Scentless Apprentice,In Utero,1993,Steve Albini,"Kurt Cobain, Dave Grohl, Krist Novoselic"
School,Bleach,1989,Jack Endino,Kurt Cobain
Scoff,Bleach,1989,Jack Endino,Kurt Cobain
,,,,
Serve The Servants,In Utero,1993,Steve Albini,Kurt Cobain
,,,,
Sifting,Bleach,1989,Jack Endino,Kurt Cobain
,,,,
Sliver,Non-Album Single,1990,Jack Endino,"Kurt Cobain, Krist Novoselic"
Smells Like Teen Spirit,Nevermind,1991,"Nirvana, Butch Vig","Kurt Cobain, Dave Grohl, Krist Novoselic"
Something In The Way,Nevermind,1991,"Nirvana, Butch Vig","Kurt Cobain, Mark Lanegan"
Son Of A Gun,Hormoaning,1992,Dale Griffin,"Eugene Kelly, Frances McKee"
,,,,
Spank Thru,Sub Pop 200,1988,Jack Endino,Kurt Cobain
Stain,Non-Album Single,1989,Steve Fisk,Kurt Cobain
Stay Away,Nevermind,1991,"Nirvana, Butch Vig",Kurt Cobain
Swap Meet,Bleach,1989,Jack Endino,Kurt Cobain
,,,,
Territorial Pissings,Nevermind,1991,"Nirvana, Butch Vig",Kurt Cobain
They Hung Him On A Cross,With The Lights Out,2004,Jack Endino,Traditional
,,,,
Token Eastern Song,With The Lights Out,2004,Steve Fisk,Kurt Cobain
Tourette'S,In Utero,1993,Steve Albini,Kurt Cobain
Turnaround,Hormoaning,1992,Dale Griffin,"Gerald Casale, Mark Mothersbaugh"
Verse Chorus Verse,With The Lights Out,2004,Butch Vig,Kurt Cobain
Very Ape,In Utero,1993,Steve Albini,Kurt Cobain
Where Did You Sleep Last Night?,Mtv Unplugged In New York,1994,"Alex Coletti, Scott Litt, Nirvana",Traditional
,,,,
You Know You'Re Right,Nirvana,2002,Adam Kasper,Kurt Cobain
