track_title,track_composers,track_genres,track_styles,track_moods,track_themes,album_title,album_release_date,album_duration,album_styles,album_recording_date,album_recording_location,album_moods,album_themes,album_rating
Once,"Stone Gossard, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Aggressive, Angry, Angst-Ridden, Bitter, Bittersweet, Brooding, Cathartic, Dramatic, Earnest, Fiery, Intense, Raucous, Reflective, Searching, Tense/Anxious, Urgent, Visceral, Energetic, Yearning","Introspection, Empowerment, Revolution",Ten,1991,50:46,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March 27, 1991 - April 26, 1991","London Bridge Studios, Seattle, WA","Angst-Ridden, Brooding, Aggressive, Angry, Bitter, Bittersweet, Brash, Cathartic, Dramatic, Earnest, Fiery, Freewheeling, Intense, Melancholy, Passionate, Poignant, Raucous, Rebellious, Reflective, Searching, Urgent, Visceral, Somber","Empowerment, Revolution, Solitude",5.0
Even Flow,"Stone Gossard, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Grunge, Alternative/Indie Rock, Hard Rock","Earnest, Melancholy, Reflective, Searching, Angst-Ridden, Bittersweet, Dramatic, Yearning, Aggressive, Brooding, Confrontational, Fiery, Poignant, Rousing, Brash, Cathartic, Energetic, Intense, Raucous, Visceral, Volatile, Urgent","Freedom, Cool & Cocky, Empowerment, Guys Night Out, Revolution",Ten,1991,50:46,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March 27, 1991 - April 26, 1991","London Bridge Studios, Seattle, WA","Angst-Ridden, Brooding, Aggressive, Angry, Bitter, Bittersweet, Brash, Cathartic, Dramatic, Earnest, Fiery, Freewheeling, Intense, Melancholy, Passionate, Poignant, Raucous, Rebellious, Reflective, Searching, Urgent, Visceral, Somber","Empowerment, Revolution, Solitude",5.0
Alive,"Stone Gossard, Eddie Vedder",Pop/Rock,"Grunge , Alternative Pop/Rock, Alternative/Indie Rock, Hard Rock","Aggressive, Angst-Ridden, Bittersweet, Brooding, Cathartic, Dramatic, Earnest, Fiery, Intense, Melancholy, Reflective, Searching, Urgent, Visceral, Energetic, Yearning, Poignant","Empowerment, Revolution, Reminiscing",Ten,1991,50:46,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March 27, 1991 - April 26, 1991","London Bridge Studios, Seattle, WA","Angst-Ridden, Brooding, Aggressive, Angry, Bitter, Bittersweet, Brash, Cathartic, Dramatic, Earnest, Fiery, Freewheeling, Intense, Melancholy, Passionate, Poignant, Raucous, Rebellious, Reflective, Searching, Urgent, Visceral, Somber","Empowerment, Revolution, Solitude",5.0
Why Go,"Jeff Ament, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Aggressive, Angry, Angst-Ridden, Bitter, Brooding, Cathartic, Confrontational, Fiery, Freewheeling, Intense, Raucous, Reckless, Searching, Tense/Anxious, Urgent, Visceral","Empowerment, Revolution",Ten,1991,50:46,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March 27, 1991 - April 26, 1991","London Bridge Studios, Seattle, WA","Angst-Ridden, Brooding, Aggressive, Angry, Bitter, Bittersweet, Brash, Cathartic, Dramatic, Earnest, Fiery, Freewheeling, Intense, Melancholy, Passionate, Poignant, Raucous, Rebellious, Reflective, Searching, Urgent, Visceral, Somber","Empowerment, Revolution, Solitude",5.0
Black,"Stone Gossard, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Angst-Ridden, Brooding, Earnest, Fiery, Intense, Melancholy, Reflective, Sad, Searching, Yearning, Bittersweet, Cathartic, Dramatic, Autumnal, Poignant","Feeling Blue, Heartache, Introspection, Regret, Empowerment, In Love, Revolution",Ten,1991,50:46,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March 27, 1991 - April 26, 1991","London Bridge Studios, Seattle, WA","Angst-Ridden, Brooding, Aggressive, Angry, Bitter, Bittersweet, Brash, Cathartic, Dramatic, Earnest, Fiery, Freewheeling, Intense, Melancholy, Passionate, Poignant, Raucous, Rebellious, Reflective, Searching, Urgent, Visceral, Somber","Empowerment, Revolution, Solitude",5.0
Jeremy,"Jeff Ament, Eddie Vedder",Pop/Rock,"Grunge , Hard Rock , Alternative Pop/Rock, Alternative/Indie Rock","Angst-Ridden, Bitter, Brooding, Cathartic, Fiery, Intense, Melancholy, Passionate, Searching, Somber, Urgent",,Ten,1991,50:46,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March 27, 1991 - April 26, 1991","London Bridge Studios, Seattle, WA","Angst-Ridden, Brooding, Aggressive, Angry, Bitter, Bittersweet, Brash, Cathartic, Dramatic, Earnest, Fiery, Freewheeling, Intense, Melancholy, Passionate, Poignant, Raucous, Rebellious, Reflective, Searching, Urgent, Visceral, Somber","Empowerment, Revolution, Solitude",5.0
Oceans,"Jeff Ament, Stone Gossard, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Angst-Ridden, Atmospheric, Bittersweet, Dramatic, Freewheeling, Searching, Urgent",,Ten,1991,50:46,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March 27, 1991 - April 26, 1991","London Bridge Studios, Seattle, WA","Angst-Ridden, Brooding, Aggressive, Angry, Bitter, Bittersweet, Brash, Cathartic, Dramatic, Earnest, Fiery, Freewheeling, Intense, Melancholy, Passionate, Poignant, Raucous, Rebellious, Reflective, Searching, Urgent, Visceral, Somber","Empowerment, Revolution, Solitude",5.0
Porch,Eddie Vedder,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Aggressive, Angst-Ridden, Autumnal, Cathartic, Earnest, Fiery, Freewheeling, Intense, Raucous, Searching, Urgent, Visceral, Bittersweet, Dramatic, Energetic, Passionate, Poignant, Reflective, Yearning","Empowerment, Revolution, In Love",Ten,1991,50:46,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March 27, 1991 - April 26, 1991","London Bridge Studios, Seattle, WA","Angst-Ridden, Brooding, Aggressive, Angry, Bitter, Bittersweet, Brash, Cathartic, Dramatic, Earnest, Fiery, Freewheeling, Intense, Melancholy, Passionate, Poignant, Raucous, Rebellious, Reflective, Searching, Urgent, Visceral, Somber","Empowerment, Revolution, Solitude",5.0
Garden,"Jeff Ament, Stone Gossard, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Angst-Ridden, Bittersweet, Brooding, Cathartic, Poignant, Reflective, Searching, Somber",,Ten,1991,50:46,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March 27, 1991 - April 26, 1991","London Bridge Studios, Seattle, WA","Angst-Ridden, Brooding, Aggressive, Angry, Bitter, Bittersweet, Brash, Cathartic, Dramatic, Earnest, Fiery, Freewheeling, Intense, Melancholy, Passionate, Poignant, Raucous, Rebellious, Reflective, Searching, Urgent, Visceral, Somber","Empowerment, Revolution, Solitude",5.0
Deep,"Jeff Ament, Stone Gossard, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Aggressive, Angst-Ridden, Bitter, Brooding, Cathartic, Fiery, Freewheeling, Intense, Raucous, Searching, Somber",,Ten,1991,50:46,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March 27, 1991 - April 26, 1991","London Bridge Studios, Seattle, WA","Angst-Ridden, Brooding, Aggressive, Angry, Bitter, Bittersweet, Brash, Cathartic, Dramatic, Earnest, Fiery, Freewheeling, Intense, Melancholy, Passionate, Poignant, Raucous, Rebellious, Reflective, Searching, Urgent, Visceral, Somber","Empowerment, Revolution, Solitude",5.0
