track_title,album_title,album_release_date,track_composers,track_genres,track_styles,track_moods,track_themes,album_duration,album_styles,album_recording_date,album_recording_location,album_moods,album_themes,album_rating
Flower,Ultramega OK,1988,"Chris Cornell, Kim Thayil",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent","Introspection, Regret, Solitude",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
All Your Lies,Ultramega OK,1988,"Chris Cornell, Kim Thayil, Hiro Yamamoto",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent","Introspection, Regret, Solitude",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
665,Ultramega OK,1988,"Chris Cornell, Hiro Yamamoto",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent","Introspection, Regret, Solitude",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Beyond the Wheel,Ultramega OK,1988,Chris Cornell,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal, Black Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent","Imagination, Late Night",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
667,Ultramega OK,1988,"Chris Cornell, Hiro Yamamoto",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent",,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Mood for Trouble,Ultramega OK,1988,Chris Cornell,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Hostile, Literate, Paranoid, Self-Conscious, Earnest, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Confrontational, Urgent","Drinking, Imagination",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Circle of Power,Ultramega OK,1988,"Kim Thayil, Hiro Yamamoto",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Confrontational, Cynical/Sarcastic, Detached, Difficult, Earnest, Hostile, Urgent","Drinking, Reflection, Imagination",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
He Didn't,Ultramega OK,1988,"Matt Cameron, Chris Cornell",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent",,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Smokestack Lightning,Ultramega OK,1988,"Chester Burnett, Howlin' Wolf",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Organic, Paranoid, Self-Conscious, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent","Regret, Introspection, Solitude",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Nazi Driver,Ultramega OK,1988,"Chris Cornell, Hiro Yamamoto",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Urgent, Bitter, Organic, Snide, Somber, Tense/Anxious, Acerbic, Cerebral, Dreamy",Imagination,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
