chart,track_name,debut_date,peak_pos,peak_date,weaks_on_chart
Radio Songs,Black Hole Sun,05.28.94,24,09.17.94,23
Radio Songs,Burden In My Hand,07.13.96,40,09.28.96,17
Radio Songs,Fell On Black Days,09.17.94,54,01.14.95,15
Radio Songs,Pretty Noose,05.04.96,37,06.08.96,13
Radio Songs,Blow Up The Outside World,11.09.96,53,12.07.96,13
Digital Song Sales,Black Hole Sun,06.03.17,41,06.10.17,2
Digital Song Sales,Black Rain,09.04.10,71,09.04.10,1
Hot Rock & Alternative Songs,Live To Rise,04.21.12,4,06.02.12,22
Hot Rock & Alternative Songs,Been Away Too Long,10.13.12,17,10.13.12,17
Hot Rock & Alternative Songs,Black Rain,08.28.10,14,08.28.10,9
Hot Rock & Alternative Songs,Black Hole Sun,06.03.17,5,06.10.17,8
Hot Rock & Alternative Songs,Fell On Black Days,06.03.17,14,06.10.17,2
Mainstream Rock Airplay,Spoonman,03.05.94,3,05.07.94,26
Mainstream Rock Airplay,Black Hole Sun,05.14.94,1,07.16.94,26
Mainstream Rock Airplay,Fell On Black Days,08.27.94,4,10.22.94,26
Mainstream Rock Airplay,Pretty Noose,05.04.96,4,06.22.96,26
Mainstream Rock Airplay,Blow Up The Outside World,10.19.96,1,12.28.96,26
Alternative Airplay,Fell On Black Days,08.20.94,13,09.17.94,28
Alternative Airplay,Burden In My Hand,06.29.96,2,09.21.96,26
Alternative Airplay,Black Hole Sun,04.23.94,2,07.02.94,25
Alternative Airplay,Blow Up The Outside World,10.26.96,8,12.14.96,21
Alternative Airplay,Been Away Too Long,10.13.12,16,11.03.12,20
Rock Streaming Songs,Black Hole Sun,06.03.17,8,06.10.17,2
Rock Digital Song Sales,Live To Rise,04.21.12,4,06.02.12,22
Rock Digital Song Sales,Been Away Too Long,10.13.12,5,01.12.13,20
Rock Digital Song Sales,By Crooked Steps,02.23.13,17,05.04.13,19
Rock Digital Song Sales,Halfway There,07.13.13,33,08.24.13,12
Rock Digital Song Sales,Black Rain,08.28.10,14,08.28.10,9
Alternative Digital Song Sales,King Animal,12.01.12,2,12.01.12,10
Alternative Digital Song Sales,Superunknown,06.03.17,3,06.03.17,3
Alternative Digital Song Sales,Telephantasm,10.16.10,4,10.16.10,3
Alternative Digital Song Sales,Badmotorfinger,06.03.17,10,06.10.17,2
Alternative Digital Song Sales,Live On I-5,04.09.11,11,04.09.11,1
Hot Rock Songs,Black Hole Sun,12.05.15,1,06.03.17,15
Hot Rock Songs,Live To Rise,05.19.12,2,05.26.12,7
Hot Rock Songs,Spoonman,06.03.17,5,06.03.17,3
Hot Rock Songs,Fell On Black Days,06.03.17,3,06.03.17,3
Hot Rock Songs,Outshined,06.03.17,6,06.03.17,3
Canadian Digital Song Sales,Superunknown,06.03.17,22,06.10.17,2
Canadian Digital Song Sales,Telephantasm,10.16.10,15,10.16.10,2
Canadian Digital Song Sales,King Animal,12.01.12,6,12.01.12,1
Canadian Digital Song Sales,Badmotorfinger,06.10.17,72,06.10.17,1
LyricFind Global,Rhinosaur,05.31.97,18,05.31.97,20
LyricFind Global,Live To Rise,04.21.12,1,05.26.12,20
LyricFind Global,Been Away Too Long,10.13.12,1,12.29.12,20
LyricFind Global,By Crooked Steps,02.23.13,1,05.04.13,20
LyricFind Global,Halfway There,07.06.13,13,09.14.13,16
LyricFind U.S.,Black Hole Sun,06.03.17,1,06.03.17,2
LyricFind U.S.,Fell On Black Days,06.03.17,4,06.03.17,2
LyricFind U.S.,The Day I Tried To Live,06.03.17,6,06.03.17,2
LyricFind U.S.,Slaves & Bulldozers,06.03.17,7,06.03.17,2
LyricFind U.S.,4th Of July,07.11.20,7,07.10.21,2
