,track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Flower - Live,Masquerade (Live Boston '90),album,2023,Soundgarden,198,0.0346,0.371,0.898,0.19,8,0.509,-8.872,1,0.052,95.908,4,0.188
1,Hands All Over - Live,Masquerade (Live Boston '90),album,2023,Soundgarden,374,0.00731,0.111,0.812,7.25e-06,8,0.526,-9.663,1,0.0575,89.23,4,0.149
2,Gun - Live,Masquerade (Live Boston '90),album,2023,Soundgarden,316,0.0107,0.0927,0.904,0.0659,5,0.313,-8.542,0,0.0967,184.432,4,0.196
3,Loud Love - Live,Masquerade (Live Boston '90),album,2023,Soundgarden,252,0.000594,0.199,0.846,0.00377,5,0.673,-10.255,0,0.0595,142.538,4,0.131
4,Get On The Snake - Live,Masquerade (Live Boston '90),album,2023,Soundgarden,193,0.00538,0.213,0.946,5.01e-05,5,0.657,-9.935,0,0.0756,142.016,4,0.0853
5,Full on Kevin's Mom - Live,Masquerade (Live Boston '90),album,2023,Soundgarden,188,0.086,0.248,0.93,0.00337,1,0.233,-12.042,1,0.0832,76.907,4,0.0999
6,I Awake - Live,Masquerade (Live Boston '90),album,2023,Soundgarden,233,0.0105,0.184,0.677,0.0188,5,0.792,-14.873,0,0.0508,131.94,3,0.158
7,Big Bottom - Live,Masquerade (Live Boston '90),album,2023,Soundgarden,236,0.00286,0.321,0.818,0.00184,1,0.0887,-12.883,1,0.0596,108.864,4,0.144
8,Beyond The Wheel - Live,Masquerade (Live Boston '90),album,2023,Soundgarden,384,0.0326,0.157,0.884,0.234,8,0.0866,-9.323,1,0.0922,133.598,4,0.0664
9,Into The Void (Stealth) - Live 1991,Suffocate (Live 1991),album,2022,Soundgarden,393,1.75e-06,0.192,0.878,0.0243,7,0.358,-7.042,1,0.0614,97.898,4,0.309
10,Outshined - Live 1991,Suffocate (Live 1991),album,2022,Soundgarden,308,1.2e-06,0.31,0.864,3.05e-06,9,0.477,-6.781,0,0.0468,95.459,4,0.212
11,Face Pollution - Live 1991,Suffocate (Live 1991),album,2022,Soundgarden,164,5.31e-06,0.261,0.938,0.000563,2,0.4,-5.488,1,0.0857,123.205,4,0.11
12,Gun - Live 1991,Suffocate (Live 1991),album,2022,Soundgarden,299,1.43e-06,0.134,0.809,0.00665,9,0.457,-8.141,1,0.0591,94.966,4,0.334
13,Room A Thousand Years Wide - Live 1991,Suffocate (Live 1991),album,2022,Soundgarden,276,4.54e-05,0.321,0.809,0.000551,10,0.506,-5.59,1,0.0502,110.864,3,0.435
14,Big Dumb Sex - Live 1991,Suffocate (Live 1991),album,2022,Soundgarden,248,1.86e-05,0.17,0.842,0.0,4,0.829,-6.501,1,0.0534,89.419,4,0.401
15,Jesus Christ Pose - Live 1991,Suffocate (Live 1991),album,2022,Soundgarden,314,1.14e-06,0.111,0.857,0.00668,9,0.5,-6.889,1,0.0685,66.71,4,0.135
