track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_album,writers,track_title,album_title,album_release_date,track_composers,track_genres,track_styles,track_moods,track_themes,album_duration,album_styles,album_recording_date,album_recording_location,album_moods,album_themes,album_rating
Flower,Ultramega OK,album,2017,Soundgarden,206,0.00241,0.47,0.789,0.0265,7,0.258,-5.468,1,0.0562,100.787,4,0.336,flower ultramega ok,"Chris Cornell, Kim Thayil",Flower,Ultramega OK,1988.0,"Chris Cornell, Kim Thayil",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent","Introspection, Regret, Solitude",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
All Your Lies,Ultramega OK,album,2017,Soundgarden,229,1.56e-05,0.362,0.921,0.132,4,0.319,-4.617,0,0.0724,91.717,4,0.319,all your lies ultramega ok,,All Your Lies,Ultramega OK,1988.0,"Chris Cornell, Kim Thayil, Hiro Yamamoto",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent","Introspection, Regret, Solitude",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
All Your Lies,Ultramega OK,album,2017,Soundgarden,229,1.56e-05,0.362,0.921,0.132,4,0.319,-4.617,0,0.0724,91.717,4,0.319,all your lies ultramega ok,,All Your Lies,Ultramega OK,1988.0,,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent","Introspection, Regret, Solitude",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
665,Ultramega OK,album,2017,Soundgarden,98,0.0431,0.497,0.754,0.609,7,0.148,-11.452,1,0.0536,111.775,4,0.394,665 ultramega ok,"Chris Cornell, Hiro Yamamoto",665,Ultramega OK,1988.0,"Chris Cornell, Hiro Yamamoto",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent","Introspection, Regret, Solitude",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Beyond the Wheel,Ultramega OK,album,2017,Soundgarden,262,0.00982,0.327,0.732,0.159,2,0.217,-7.009,1,0.0402,145.725,4,0.256,beyond the wheel ultramega ok,Chris Cornell,Beyond the Wheel,Ultramega OK,1988.0,Chris Cornell,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal, Black Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent","Imagination, Late Night",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Beyond the Wheel,Ultramega OK,album,2017,Soundgarden,262,0.00982,0.327,0.732,0.159,2,0.217,-7.009,1,0.0402,145.725,4,0.256,beyond the wheel ultramega ok,Chris Cornell,Beyond the Wheel,Ultramega OK,1988.0,,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal, Black Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent","Imagination, Late Night",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
667,Ultramega OK,album,2017,Soundgarden,55,0.0119,0.603,0.521,0.232,7,0.093,-14.031,1,0.0406,112.262,4,0.164,667 ultramega ok,"Chris Cornell, Hiro Yamamoto",667,Ultramega OK,1988.0,"Chris Cornell, Hiro Yamamoto",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent",,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Mood for Trouble,Ultramega OK,album,2017,Soundgarden,260,0.0117,0.288,0.846,0.000251,4,0.111,-5.708,0,0.0408,140.122,4,0.2,mood for trouble ultramega ok,Chris Cornell,Mood for Trouble,Ultramega OK,1988.0,Chris Cornell,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Hostile, Literate, Paranoid, Self-Conscious, Earnest, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Confrontational, Urgent","Drinking, Imagination",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Circle of Power,Ultramega OK,album,2017,Soundgarden,124,0.00289,0.293,0.976,1.02e-05,9,0.383,-4.073,0,0.131,138.104,5,0.466,circle of power ultramega ok,"Kim Thayil, Hiro Yamamoto",Circle of Power,Ultramega OK,1988.0,"Kim Thayil, Hiro Yamamoto",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Confrontational, Cynical/Sarcastic, Detached, Difficult, Earnest, Hostile, Urgent","Drinking, Reflection, Imagination",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
He Didn't,Ultramega OK,album,2017,Soundgarden,167,0.0139,0.452,0.939,0.000547,9,0.355,-4.136,0,0.0502,140.437,3,0.776,he didn't ultramega ok,"Chris Cornell, Matt Cameron",He Didn't,Ultramega OK,1988.0,"Matt Cameron, Chris Cornell",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent",,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
