track_title,album_title,writers,release_year
4th of July,Superunknown,Chris Cornell,1994
665,Ultramega OK,"Chris Cornell, Hiro Yamamoto",1988
667,Ultramega OK,"Chris Cornell, Hiro Yamamoto",1988
All Your Lies,Deep Six,"Chris Cornell, Kim Thayil, Hiro Yamamoto",1986
An Unkind,Down on the Upside,Ben Shepherd,1996
Applebite,Down on the Upside,"Chris Cornell, Matt Cameron",1996
Attrition,King Animal,Ben Shepherd,2012
Been Away Too Long,King Animal,"Chris Cornell, Ben Shepherd",2012
Beyond the Wheel,Ultramega OK,Chris Cornell,1988
Big Dumb Sex,Louder Than Love,Chris Cornell,1989
Birth Ritual,Singles,"Chris Cornell, Kim Thayil, Matt Cameron",1992
Black Hole Sun,Superunknown,Chris Cornell,1994
Black Rain,Telephantasm,"Chris Cornell, Kim Thayil, Ben Shepherd",2010
Black Saturday,King Animal,Chris Cornell,2012
Bleed Together,"Burden in My Hand""",Chris Cornell,1996
Blind Dogs,The Basketball Diaries,"Chris Cornell, Kim Thayil",1995
Blood on the Valley Floor,King Animal,"Chris Cornell, Kim Thayil",2012
Blow Up the Outside World,Down on the Upside,Chris Cornell,1996
Bones of Birds,King Animal,Chris Cornell,2012
Boot Camp,Down on the Upside,Chris Cornell,1996
Burden in My Hand,Down on the Upside,Chris Cornell,1996
By Crooked Steps,King Animal,"Kim Thayil, Ben Shepherd, Matt Cameron",2012
Circle of Power,Ultramega OK,"Kim Thayil, Hiro Yamamoto",1988
Cold Bitch,"Outshined""",Chris Cornell,1991
Come Together,"Hands All Over""","John Lennon, Paul McCartney",1989
The Day I Tried to Live,Superunknown,Chris Cornell,1994
Drawing Flies,Badmotorfinger,"Chris Cornell, Matt Cameron",1991
Dusty,Down on the Upside,"Chris Cornell, Ben Shepherd",1996
Entering,Screaming Life,"Chris Cornell, Kim Thayil",1987
Exit Stonehenge,"Spoonman""","Chris Cornell, Kim Thayil, Ben Shepherd, Matt Cameron",1994
Eyelid's Mouth,King Animal,"Chris Cornell, Matt Cameron",2012
Face Pollution,Badmotorfinger,"Chris Cornell, Ben Shepherd",1991
Fell on Black Days,Superunknown,Chris Cornell,1994
Flower,Ultramega OK,"Chris Cornell, Kim Thayil",1988
Fopp,Fopp,,1988
Fresh Deadly Roses,"Loud Love""",Chris Cornell,1989
