songs,writers,original_release,producers,release_year
About a Girl,Kurt Cobain,Bleach,Jack Endino,1989
Aero Zeppelin,Kurt Cobain,Incesticide,Jack Endino,1992
Ain't It a Shame,Traditional ,With the Lights Out,Jack Endino,2004
All Apologies,Kurt Cobain,In Utero,Steve Albini,1993
Aneurysm,"Kurt Cobain, Dave Grohl, Krist Novoselic",Non-album single,Craig Montgomery,1991
Anorexorcist,Kurt Cobain,With the Lights Out,Unknown,2004
Beans,Kurt Cobain,With the Lights Out,Unknown,2004
Been a Son,Kurt Cobain,Non-album single,Steve Fisk,1989
Beeswax,Kurt Cobain,Kill Rock Stars,Jack Endino,1991
Big Cheese,Kurt Cobain,Non-album single,Jack Endino,1988
Big Long Now,Kurt Cobain,Incesticide,Jack Endino,1992
Big Me,Dave Grohl,Unknown,Adam Kasper,-1
Blandest,Kurt Cobain,With the Lights Out,Jack Endino,2004
Blew,Kurt Cobain,Bleach,Jack Endino,1989
Breed,Kurt Cobain,Nevermind,"Nirvana, Butch Vig",1991
Butterflies,Unknown,Unknown,Adam Kasper,-1
Chris w/Acoustic,Unknown,Unknown,Adam Kasper,-1
Clean Up Before She Comes,Kurt Cobain,With the Lights Out,Unknown,2004
Come as You Are,Kurt Cobain,Nevermind,"Nirvana, Butch Vig",1991
Curmudgeon,"Kurt Cobain, Dave Grohl, Krist Novoselic",Non-album single,Barrett Jones,1992
D-7,Greg Sage,Hormoaning,Dale Griffin,1992
Dave w/Echoplex,Unknown,Unknown,Adam Kasper,-1
Dive,"Kurt Cobain, Krist Novoselic",Non-album single,Butch Vig,1990
Do Re Mi,Kurt Cobain,With the Lights Out,Unknown,2004
Do You Love Me?,"Bob Ezrin, Kim Fowley, Paul Stanley",Hard to Believe: A Kiss Covers Compilation,Greg Babior,1990
Don't Want It All,Kurt Cobain,With the Lights Out,Unknown,2004
Downer,"Kurt Cobain, Krist Novoselic",Bleach,Jack Endino,1990
Drain You,Kurt Cobain,Nevermind,"Nirvana, Butch Vig",1991
Dumb,Kurt Cobain,In Utero,Steve Albini,1993
E.Coli,Unknown,Unknown,Unknown,-1
"Endless, Nameless","Kurt Cobain, Dave Grohl, Krist Novoselic",Nevermind,Butch Vig,1991
Escalator to Hell,Unknown,Unknown,Unknown,-1
Even In His Youth,"Kurt Cobain, Dave Grohl, Krist Novoselic",Non-album single,Craig Montgomery,1991
Exhausted,Dave Grohl,Unknown,Adam Kasper,-1
February Stars,Dave Grohl,Unknown,Adam Kasper,-1
Floyd the Barber,Kurt Cobain,Bleach,Jack Endino,1989
Forgotten Tune,Kurt Cobain,In Utero,Barrett Jones,2013
Frances Farmer Will Have Her Revenge on Seattle,Kurt Cobain,In Utero,Steve Albini,1993
French Abortion,Unknown,Unknown,Adam Kasper,-1
Gallons of Rubbing Alcohol Flow Through the Strip,"Kurt Cobain, Dave Grohl, Krist Novoselic",In Utero,Craig Montgomery,1993
Grey Goose,Traditional ,With the Lights Out,Jack Endino,2004
"Gypsys, Tramps & Thieves",Bob Stone,Unknown,Unknown,-1
Hairspray Queen,Kurt Cobain,Incesticide,Jack Endino,1992
Heart-Shaped Box,Kurt Cobain,In Utero,Steve Albini,1993
Heartbreaker,"John Bonham, John Paul Jones, Jimmy Page, Robert Plant",With the Lights Out,Unknown,2004
Here She Comes Now,"John Cale, Sterling Morrison, Lou Reed, Moe Tucker",Heaven & Hell: A Tribute to the Velvet Underground,Butch Vig,1991
Help Me I'm Hungry,Kurt Cobain,With the Lights Out,Unknown,2004
I Hate Myself and Want to Die,Kurt Cobain,The Beavis and Butt-Head Experience,Steve Albini,1993
If You Must,Kurt Cobain,With the Lights Out,Jack Endino,2004
Immigrant Song,"Jimmy Page, Robert Plant",With the Lights Out,Unknown,2004
In Bloom,Kurt Cobain,Nevermind,"Nirvana, Butch Vig",1991
Jam,Kurt Cobain,In Utero,Jack Endino,2013
Jam After Dinner,Unknown,Unknown,Adam Kasper,-1
Jesus Doesn't Want Me For A Sunbeam,"Eugene Kelly, Frances McKee",MTV Unplugged in New York,"Alex Coletti, Scott Litt, Nirvana",1994
Lake of Fire,Curt Kirkwood,MTV Unplugged in New York,"Alex Coletti, Scott Litt, Nirvana",1994
The Landlord is a Piece of Shit from Hell,Unknown,Unknown,Unknown,-1
Lithium,Kurt Cobain,Nevermind,"Nirvana, Butch Vig",1991
Lounge Act,Kurt Cobain,Nevermind,"Nirvana, Butch Vig",1991
Love Buzz,Robbie van Leeuwen,Bleach,Jack Endino,1989
Lullaby,Unknown,Unknown,Unknown,-1
The Man Who Sold the World,David Bowie,MTV Unplugged in New York,"Alex Coletti, Scott Litt, Nirvana",1994
Marigold,Dave Grohl,Non-album single,Steve Albini,1993
Mexican Seafood,Kurt Cobain,Teriyaki Asthma Volume 1,Jack Endino,1989
Milk It,Kurt Cobain,In Utero,Steve Albini,1993
Raunchola / Moby Dick,"John Bonham, Kurt Cobain, John Paul Jones, Jimmy Page",With the Lights Out,Unknown,2004
Moist Vagina,Kurt Cobain,Non-album single,Steve Albini,1993
Molly's Lips,"Eugene Kelly, Frances McKee",Non-album single,Dale Griffin,1991
The Money Will Roll Right In,Tom Flynn,Live at Reading,Unknown,2009
More Than a Feeling,Tom Scholz,Live at Reading,Unknown,2009
Mr. Moustache,Kurt Cobain,Bleach,Jack Endino,1989
Mrs. Butterworth,Kurt Cobain,With the Lights Out,Unknown,2004
My Best Friend's Girl,Ric Ocasek,Live and Loud,Unknown,2013
Negative Creep,Kurt Cobain,Bleach,Jack Endino,1989
New Beat / In Cars,Unknown,Unknown,Adam Kasper,-1
New Wave Groove,Unknown,Unknown,Adam Kasper,-1
"Oh, Me",Curt Kirkwood,MTV Unplugged in New York,"Alex Coletti, Scott Litt, Nirvana",1994
"Oh, the Guilt",Kurt Cobain,Non-album single,Barrett Jones,1992
Old Age,Kurt Cobain,With the Lights Out,Butch Vig,2004
On a Plain,Kurt Cobain,Nevermind,"Nirvana, Butch Vig",1991
Onward Into Countless Battles,Unknown ,Unknown,Craig Montgomery,-1
Opinion,Kurt Cobain,With the Lights Out,Unknown,2004
The Other Improv,Kurt Cobain,With the Lights Out,Craig Montgomery,2004
Paper Cuts,Kurt Cobain,Bleach,Jack Endino,1989
Pen Cap Chew,Kurt Cobain,With the Lights Out,Jack Endino,2004
Pennyroyal Tea,Kurt Cobain,In Utero,Steve Albini,1993
Plateau,Curt Kirkwood,MTV Unplugged in New York,"Alex Coletti, Scott Litt, Nirvana",1994
Polly,Kurt Cobain,Nevermind,"Nirvana, Butch Vig",1991
Radio Friendly Unit Shifter,Kurt Cobain,In Utero,Steve Albini,1993
Rape Me,Kurt Cobain,In Utero,Steve Albini,1993
Return of the Rat,Greg Sage,Eight Songs for Greg Sage and the Wipers,Barrett Jones,1992
Sappy,Kurt Cobain,No Alternative,Steve Albini,1993
Scentless Apprentice,"Kurt Cobain, Dave Grohl, Krist Novoselic",In Utero,Steve Albini,1993
School,Kurt Cobain,Bleach,Jack Endino,1989
Scoff,Kurt Cobain,Bleach,Jack Endino,1989
Seasons in the Sun,"Jacques Brel, Rod McKuen",With the Lights Out,Unknown,2004
Serve the Servants,Kurt Cobain,In Utero,Steve Albini,1993
Should I Stay or Should I Go,The Clash,Unknown,Unknown,-1
Sifting,Kurt Cobain,Bleach,Jack Endino,1989
Skid Mark,Unknown,Unknown,Adam Kasper,-1
Sliver,"Kurt Cobain, Krist Novoselic",Non-album single,Jack Endino,1990
Smells Like Teen Spirit,"Kurt Cobain, Dave Grohl, Krist Novoselic",Nevermind,"Nirvana, Butch Vig",1991
Something in the Way,"Kurt Cobain, Mark Lanegan",Nevermind,"Nirvana, Butch Vig",1991
Son of a Gun,"Eugene Kelly, Frances McKee",Hormoaning,Dale Griffin,1992
Song in D,Unknown,Unknown,Butch Vig,-1
Spank Thru,Kurt Cobain,Sub Pop 200,Jack Endino,1988
